datetime,timestamp,exchange,pair,refPrice,tradePrice,offset,amount,profit
2018-06-20T09:29:46.000Z,1529486986000,cryptopia,LTC/BTC,0.0145,0.01450522,0.03,0.06165674,0.00001849
2018-06-20T09:29:49.000Z,1529486989000,cryptopia,LTC/BTC,0.0145,0.01450522,0.03,0.0380747,0.00001142
2018-06-20T09:29:55.000Z,1529486995000,cryptopia,LTC/BTC,0.0145,0.01450522,0.03,0.1269015,0.00003807
2018-06-20T09:32:31.000Z,1529487151000,cryptopia,LTC/BTC,0.0145,0.01448071,-0.14,0.22608246,-0.00031652
2018-06-20T09:34:36.000Z,1529487276000,cryptopia,LTC/BTC,0.0145,0.014501,0,0.03569908,0
2018-06-20T09:37:06.000Z,1529487426000,cryptopia,LTC/BTC,0.01448,0.01450373,0.16,0.21143952,0.0003383
2018-06-20T09:40:45.000Z,1529487645000,cryptopia,LTC/BTC,0.01451,0.01452218,0.08,0.03779734,0.00003023
2018-06-20T09:40:50.000Z,1529487650000,cryptopia,LTC/BTC,0.01451,0.01450375,-0.05,0.14776677,-0.00007389
2018-06-20T09:42:38.000Z,1529487758000,cryptopia,LTC/BTC,0.01451,0.01454873,0.26,0.14,0.000364
2018-06-20T09:46:03.000Z,1529487963000,cryptopia,LTC/BTC,0.01451,0.01453554,0.17,0.31257065,0.00053137
2018-06-20T09:47:43.000Z,1529488063000,cryptopia,LTC/BTC,0.01451,0.01451694,0.04,0.06302657,0.00002521
2018-06-20T09:47:48.000Z,1529488068000,cryptopia,LTC/BTC,0.01451,0.01451694,0.04,0.1001094,0.00004004
2018-06-20T09:50:03.000Z,1529488203000,cryptopia,LTC/BTC,0.0145,0.01452353,0.16,0.08631547,0.0001381
2018-06-20T09:51:22.000Z,1529488282000,cryptopia,LTC/BTC,0.0145,0.01451694,0.11,0.08542233,0.00009396
2018-06-20T09:51:23.000Z,1529488283000,cryptopia,LTC/BTC,0.0145,0.01450496,0.03,0.55041259,0.00016512
2018-06-20T09:51:23.000Z,1529488283000,cryptopia,LTC/BTC,0.0145,0.01450497,0.03,0.03640159,0.00001092
2018-06-20T09:51:23.000Z,1529488283000,cryptopia,LTC/BTC,0.0145,0.01450373,0.02,0.67104484,0.0001342
2018-06-20T09:52:52.000Z,1529488372000,cryptopia,LTC/BTC,0.01448,0.01450373,0.16,0.18548514,0.00029677
2018-06-20T09:54:29.000Z,1529488469000,cryptopia,LTC/BTC,0.0145,0.0144746,-0.18,1,-0.0018
2018-06-20T09:55:51.000Z,1529488551000,cryptopia,LTC/BTC,0.01449,0.01450019,0.07,0.1640574,0.00011484
2018-06-20T09:57:25.000Z,1529488645000,cryptopia,LTC/BTC,0.01449,0.01449,0,0.1097092,0
2018-06-20T09:57:35.000Z,1529488655000,cryptopia,LTC/BTC,0.01449,0.01449,0,0.10774065,0
2018-06-20T09:57:36.000Z,1529488656000,cryptopia,LTC/BTC,0.01449,0.01448173,-0.06,0.15122135,-0.00009074
2018-06-20T10:00:03.000Z,1529488803000,cryptopia,LTC/BTC,0.01447,0.01454576,0.52,0.04210523,0.00021894
2018-06-20T10:00:05.000Z,1529488805000,cryptopia,LTC/BTC,0.01447,0.01454576,0.52,2.90158051,0.01508821
2018-06-20T10:00:06.000Z,1529488806000,cryptopia,LTC/BTC,0.01447,0.01454576,0.52,0.04210523,0.00021894
2018-06-20T10:02:53.000Z,1529488973000,cryptopia,LTC/BTC,0.01447,0.01450453,0.23,0.34471921,0.00079285
2018-06-20T10:03:00.000Z,1529488980000,cryptopia,LTC/BTC,0.01447,0.01448607,0.11,0.08690558,0.00009559
2018-06-20T10:04:43.000Z,1529489083000,cryptopia,LTC/BTC,0.01447,0.01448607,0.11,0.4750409,0.00052254
2018-06-20T10:04:45.000Z,1529489085000,cryptopia,LTC/BTC,0.01447,0.01443269,-0.26,0.392022,-0.00101926
2018-06-20T10:04:45.000Z,1529489085000,cryptopia,LTC/BTC,0.01447,0.0144746,0.03,3.63793142,0.00109137
2018-06-20T10:04:45.000Z,1529489085000,cryptopia,LTC/BTC,0.01447,0.01445838,-0.09,1.03745863,-0.00093372
2018-06-20T10:05:04.000Z,1529489104000,cryptopia,LTC/BTC,0.01447,0.01448607,0.11,0.34515681,0.00037967
2018-06-20T10:06:49.000Z,1529489209000,cryptopia,LTC/BTC,0.01447,0.01450453,0.23,0.24455337,0.00056247
2018-06-20T10:06:49.000Z,1529489209000,cryptopia,LTC/BTC,0.01447,0.01448607,0.11,2.16656982,0.00238322
2018-06-20T10:06:49.000Z,1529489209000,cryptopia,LTC/BTC,0.01447,0.01448607,0.11,0.22545,0.00024799
2018-06-20T10:06:49.000Z,1529489209000,cryptopia,LTC/BTC,0.01447,0.01450446,0.23,0.46504231,0.00106959
2018-06-20T10:07:02.000Z,1529489222000,cryptopia,LTC/BTC,0.01447,0.01450453,0.23,0.09280848,0.00021345
2018-06-20T10:09:18.000Z,1529489358000,cryptopia,LTC/BTC,0.01447,0.01450453,0.23,0.37992484,0.00087382
2018-06-20T10:09:25.000Z,1529489365000,cryptopia,LTC/BTC,0.01447,0.01450453,0.23,1.15604895,0.00265891
2018-06-20T10:12:27.000Z,1529489547000,cryptopia,LTC/BTC,0.01447,0.01449939,0.2,0.04180298,0.0000836
2018-06-20T10:15:09.000Z,1529489709000,cryptopia,LTC/BTC,0.01447,0.01446553,-0.04,0.47847521,-0.0001914
2018-06-20T10:15:09.000Z,1529489709000,cryptopia,LTC/BTC,0.01447,0.0144836,0.09,0.9550469,0.00085954
2018-06-20T10:20:40.000Z,1529490040000,cryptopia,LTC/BTC,0.01448,0.01445656,-0.17,0.34586311,-0.00058797
2018-06-20T10:20:40.000Z,1529490040000,cryptopia,LTC/BTC,0.01448,0.01445656,-0.17,1.56330413,-0.00265762
2018-06-20T10:22:30.000Z,1529490150000,cryptopia,LTC/BTC,0.01448,0.01443863,-0.29,0.6,-0.00174
2018-06-20T10:25:07.000Z,1529490307000,cryptopia,LTC/BTC,0.01448,0.01446557,-0.1,0.46,-0.00046001
