datetime,timestamp,exchange,pair,refPrice,tradePrice,offset,amount,profit
2018-06-20T09:51:48.122Z,1529488308122,cryptopia,XMR/BTC,0.018415,0.01849149,0.41,0.07367948,0.00030208
2018-06-20T10:35:32.553Z,1529490932553,cryptopia,XMR/BTC,0.018306,0.01840255,0.52,0.27531912,0.00143165
2018-06-20T10:52:02.857Z,1529491922857,cryptopia,XMR/BTC,0.01826,0.01836485,0.57,0.05506383,0.00031386
2018-06-20T12:12:18.265Z,1529496738265,cryptopia,LTC/BTC,0.01451,0.01457752,0.46,4.94417651,0.02274321
2018-06-20T12:31:17.090Z,1529497877090,cryptopia,LTC/BTC,0.01452,0.01444242,-0.54,2.03243247,-0.01097514
2018-06-20T16:33:14.894Z,1529512394894,cryptopia,LTC/BTC,0.01455,0.01448222,-0.47,0.40263211,-0.00189238
2018-06-20T16:42:37.870Z,1529512957870,cryptopia,LTC/BTC,0.01454,0.01448222,-0.4,0.07889995,-0.0003156
2018-06-20T21:26:44.610Z,1529530004610,cryptopia,XMR/BTC,0.018123,0.01803935,-0.47,2.38549942,-0.01121185
2018-06-20T21:52:35.787Z,1529531555787,cryptopia,LTC/BTC,0.01446,0.01439267,-0.47,0.03741737,-0.00017587
2018-06-20T23:44:41.588Z,1529538281588,cryptopia,XMR/BTC,0.018178,0.01828093,0.56,1.13619472,0.00636269
2018-06-20T23:51:37.162Z,1529538697162,cryptopia,XMR/BTC,0.018164,0.01826185,0.53,1.01045652,0.00535541
2018-06-21T00:30:54.416Z,1529541054416,cryptopia,XMR/BTC,0.018092,0.01820004,0.59,0.20209131,0.00119233
